Name,Team,G,AB,PA,H,1B,2B,3B,HR,TB,RC,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,OBP,SLG,OPS,SecA,EqA,BB%,K%,wRC+,wOBA,WAR,playerid
Max Kepler,MIN,121,426,490,90,46,21,4,19,176,59.83,61,54,54,3,96,6,4,0,2,10,0,0.211,0.306,0.413,0.719,0.352,0.750,11.00%,19.60%,95,0.309,1.9,12144
Starlin Castro,WSN,87,315,346,89,66,20,0,3,118,39.63,25,38,26,1,62,0,4,0,6,0,1,0.283,0.333,0.375,0.708,0.171,0.723,7.50%,17.90%,90,0.309,0.4,4579
Yan Gomes,- - -,103,349,375,88,58,15,1,14,147,40.05,49,52,19,3,78,6,1,0,15,0,0,0.252,0.301,0.421,0.723,0.223,0.729,5.10%,20.80%,93,0.308,1.6,9627
Kyle Seager,SEA,159,603,670,128,63,29,1,35,264,77.43,73,101,59,2,161,4,4,0,7,3,1,0.212,0.285,0.438,0.723,0.327,0.734,8.80%,24.00%,99,0.308,2.5,9785
Tommy La Stella,SFG,76,220,242,55,36,11,1,7,89,27.48,26,27,18,1,26,1,1,0,4,0,0,0.250,0.308,0.405,0.713,0.236,0.723,7.40%,10.70%,94,0.307,0.5,12371
Chad Pinder,OAK,75,214,233,52,29,16,1,6,88,25.74,30,27,16,0,62,2,1,0,6,1,0,0.243,0.300,0.411,0.712,0.248,0.724,6.90%,26.60%,97,0.307,0.4,15191
Gleyber Torres,NYY,127,459,516,119,88,22,0,9,168,56.38,50,51,50,1,104,1,4,2,12,14,6,0.259,0.331,0.366,0.697,0.233,0.728,9.70%,20.20%,94,0.307,1.7,16997
Anthony Santander,BAL,110,406,438,98,56,24,0,18,176,48.02,54,50,23,0,101,4,4,1,11,1,1,0.241,0.286,0.433,0.720,0.249,0.730,5.30%,23.10%,92,0.307,0.6,14551
Alex Kirilloff,MIN,59,215,231,54,34,11,1,8,91,26.85,23,34,14,2,52,1,1,0,3,1,1,0.251,0.299,0.423,0.722,0.237,0.730,6.10%,22.50%,93,0.307,0.3,20325
Andrew Vaughn,CHW,127,417,469,98,61,22,0,15,165,49.99,56,48,41,0,101,6,5,0,14,1,1,0.235,0.309,0.396,0.705,0.259,0.722,8.70%,21.50%,94,0.306,0.3,26197
Whit Merrifield,KCR,162,664,720,184,129,42,3,10,262,88.40,97,74,40,1,103,4,12,0,12,40,4,0.277,0.317,0.395,0.711,0.232,0.765,5.60%,14.30%,91,0.306,3.2,11281
Eugenio Suarez,CIN,145,505,574,100,46,23,0,31,216,61.06,71,79,56,0,171,8,5,0,14,0,1,0.198,0.286,0.428,0.713,0.339,0.725,9.80%,29.80%,85,0.306,0.6,12552
Brian Goodwin,CHW,72,235,271,52,33,10,1,8,88,30.50,33,29,33,0,58,1,1,1,2,1,0,0.221,0.319,0.374,0.693,0.298,0.715,12.20%,21.40%,94,0.306,0.2,12858
Rowdy Tellez,- - -,106,297,325,72,45,14,2,11,123,37.06,34,36,23,4,65,4,1,0,6,0,0,0.242,0.305,0.414,0.719,0.249,0.728,7.10%,20.00%,89,0.306,-0.2,15679
Derek Hill,DET,49,139,150,36,27,3,3,3,54,16.79,19,14,10,0,42,1,0,0,2,6,3,0.259,0.313,0.388,0.702,0.223,0.726,6.70%,28.00%,92,0.305,0.3,16947
Freddy Galvis,- - -,104,356,394,86,56,15,1,14,145,44.51,53,40,27,1,77,5,3,2,6,1,0,0.242,0.302,0.407,0.709,0.244,0.725,6.90%,19.50%,90,0.305,1.6,6609
Brett Gardner,NYY,140,387,461,86,56,16,4,10,140,52.00,47,39,60,0,100,3,6,5,3,4,0,0.222,0.327,0.362,0.689,0.305,0.726,13.00%,21.70%,93,0.305,1.4,9927
Justin Upton,LAA,89,318,362,67,38,12,0,17,130,37.91,47,41,39,0,107,1,3,0,11,4,1,0.211,0.296,0.409,0.705,0.330,0.727,10.80%,29.60%,92,0.305,0.3,5222
Miguel Cabrera,DET,130,472,526,121,90,16,0,15,182,54.69,48,75,40,0,118,5,9,0,21,0,0,0.256,0.316,0.386,0.701,0.214,0.721,7.60%,22.40%,92,0.305,-0.7,1744
Raimel Tapia,COL,133,487,533,133,99,26,2,6,181,61.28,69,50,40,2,70,1,4,1,8,20,6,0.273,0.327,0.372,0.699,0.209,0.734,7.50%,13.10%,76,0.305,0.4,14350
Tyler Wade,NYY,103,127,145,34,28,5,1,0,41,15.75,31,5,16,1,37,1,0,0,3,17,6,0.268,0.354,0.323,0.677,0.268,0.755,11.00%,25.50%,92,0.304,0.9,15730
Jose Iglesias,- - -,137,483,511,131,93,27,2,9,189,56.90,65,48,21,0,75,6,1,0,10,5,2,0.271,0.309,0.391,0.701,0.170,0.712,4.10%,14.70%,91,0.304,1,10231
Christian Walker,ARI,115,401,445,98,64,23,1,10,153,48.85,55,46,38,1,106,4,2,0,8,0,0,0.244,0.315,0.382,0.696,0.232,0.710,8.50%,23.80%,87,0.304,0.3,13419
Yonathan Daza,COL,107,301,331,85,69,12,2,2,107,34.84,26,30,21,0,60,2,1,6,9,2,1,0.282,0.332,0.355,0.688,0.146,0.708,6.30%,18.10%,75,0.304,0.5,15794
William Contreras,ATL,52,163,185,35,22,4,1,8,65,20.26,19,23,19,1,54,2,1,0,3,0,0,0.215,0.303,0.399,0.701,0.301,0.716,10.30%,29.20%,86,0.303,0,20503
Gavin Lux,LAD,102,335,381,81,58,12,4,7,122,43.12,49,46,41,3,83,3,2,0,3,4,1,0.242,0.328,0.364,0.692,0.254,0.717,10.80%,21.80%,91,0.303,1,19955
Abraham Toro,- - -,95,335,375,80,57,12,0,11,125,40.79,45,46,31,0,54,7,2,0,5,6,3,0.239,0.315,0.373,0.688,0.236,0.711,8.30%,14.40%,95,0.303,1.2,19844
Aristides Aquino,CIN,84,174,204,33,16,6,1,10,71,23.09,25,23,27,2,75,1,2,0,0,2,2,0.190,0.299,0.408,0.707,0.374,0.726,13.20%,36.80%,83,0.303,0.1,15482
Jo Adell,LAA,35,130,140,32,21,5,2,4,53,15.04,17,26,8,0,32,1,0,1,3,2,1,0.246,0.295,0.408,0.703,0.231,0.716,5.70%,22.90%,90,0.303,0.1,20220
Albert Pujols,- - -,109,275,296,65,45,3,0,17,119,29.62,29,50,14,3,45,5,2,0,14,2,0,0.236,0.284,0.433,0.717,0.255,0.730,4.70%,15.20%,90,0.302,-0.2,1177
Harold Ramirez,CLE,99,339,361,91,62,21,1,7,135,39.16,33,41,14,1,56,5,3,0,10,3,1,0.268,0.305,0.398,0.703,0.177,0.718,3.90%,15.50%,90,0.302,0,14387
Josh Naylor,CLE,69,233,250,59,39,13,0,7,93,26.60,28,21,14,1,45,2,0,0,7,1,0,0.253,0.301,0.399,0.700,0.210,0.710,5.60%,18.00%,90,0.302,-0.6,18839
Cesar Hernandez,- - -,149,570,637,132,88,21,2,21,220,68.81,84,62,59,2,135,5,3,0,11,1,1,0.232,0.308,0.386,0.694,0.258,0.708,9.30%,21.20%,90,0.302,2.2,10556
Yoshi Tsutsugo,- - -,81,230,262,50,29,12,1,8,88,28.09,27,32,29,0,72,1,1,1,3,0,1,0.217,0.307,0.383,0.689,0.287,0.703,11.10%,27.50%,90,0.302,0.2,27459
Ke'Bryan Hayes,PIT,96,362,396,93,65,20,2,6,135,42.53,49,38,31,0,87,1,2,0,11,9,1,0.257,0.316,0.373,0.689,0.224,0.718,7.80%,22.00%,88,0.301,1.5,18577
Willie Calhoun,TEX,75,260,284,65,46,10,3,6,99,29.72,26,25,21,0,34,2,1,0,6,0,2,0.250,0.310,0.381,0.691,0.204,0.698,7.40%,12.00%,91,0.301,-0.6,17838
Manuel Margot,TBR,125,421,464,107,76,18,3,10,161,51.51,55,57,37,2,70,1,4,1,4,13,8,0.254,0.313,0.382,0.696,0.228,0.720,8.00%,15.10%,95,0.301,1.4,14712
Tommy Edman,STL,159,641,691,168,113,41,3,11,248,81.64,91,56,38,1,95,6,4,2,4,30,5,0.262,0.308,0.387,0.695,0.223,0.734,5.50%,13.70%,91,0.301,2.3,19470
Brent Rooker,MIN,58,189,213,38,19,10,0,9,75,23.27,25,16,15,0,70,9,0,0,1,0,0,0.201,0.291,0.397,0.688,0.275,0.700,7.00%,32.90%,89,0.301,-0.2,19627
Jeff McNeil,NYM,120,386,426,97,70,19,1,7,139,44.73,48,35,29,0,58,10,1,0,10,3,0,0.251,0.319,0.360,0.679,0.192,0.699,6.80%,13.60%,93,0.301,0.5,15362
Zack Collins,CHW,78,195,231,41,24,13,0,4,66,23.32,25,26,34,1,69,1,0,1,4,1,1,0.210,0.330,0.338,0.669,0.303,0.695,14.70%,29.90%,90,0.3,-0.7,19181
Trevor Larnach,MIN,79,260,301,58,39,12,0,7,91,32.07,29,28,31,0,104,8,2,0,3,1,0,0.223,0.322,0.350,0.672,0.250,0.699,10.30%,34.60%,89,0.3,0.2,21501
Tucker Barnhart,CIN,116,348,388,86,58,21,0,7,128,41.17,41,48,29,1,100,8,3,0,8,0,0,0.247,0.317,0.368,0.685,0.204,0.702,7.50%,25.80%,81,0.3,1.2,10200
Randal Grichuk,TOR,149,511,545,123,75,25,1,22,216,55.12,59,81,27,0,114,3,4,0,17,0,3,0.241,0.281,0.423,0.703,0.229,0.708,5.00%,20.90%,85,0.3,0.4,10243
Mitch Moreland,OAK,81,229,252,52,30,11,1,10,95,27.06,28,30,18,0,58,2,3,0,5,0,0,0.227,0.286,0.415,0.701,0.266,0.714,7.10%,23.00%,93,0.3,-0.2,3086
Bradley Zimmer,CLE,99,299,348,68,50,9,1,8,103,38.30,44,35,30,0,122,15,4,0,3,15,3,0.227,0.325,0.344,0.669,0.258,0.723,8.60%,35.10%,89,0.3,1.1,16221
Pedro Severino,BAL,113,379,419,94,65,18,0,11,145,44.80,32,46,34,1,109,1,5,0,9,0,0,0.248,0.308,0.383,0.690,0.224,0.708,8.10%,26.00%,87,0.299,-0.1,14523
Nick Solak,TEX,127,458,511,111,80,18,2,11,166,51.98,57,49,34,0,107,15,2,2,11,7,5,0.242,0.314,0.362,0.677,0.199,0.697,6.70%,20.90%,89,0.299,1.1,19294
Victor Reyes,DET,76,209,220,54,35,10,4,5,87,25.01,26,22,8,0,55,0,1,2,2,5,1,0.258,0.284,0.416,0.701,0.215,0.723,3.60%,25.00%,88,0.298,0.3,15487
Cavan Biggio,TOR,79,250,294,56,38,10,1,7,89,31.14,27,27,37,2,78,1,4,1,4,3,1,0.224,0.322,0.356,0.678,0.288,0.712,12.60%,26.50%,84,0.298,-0.1,19252
Jake Lamb,- - -,55,144,170,28,17,4,0,7,53,17.02,25,19,22,0,51,2,2,0,4,0,0,0.194,0.306,0.368,0.674,0.326,0.700,12.90%,30.00%,87,0.298,0.1,13329
Phil Gosselin,LAA,104,345,373,90,69,14,0,7,125,40.42,40,47,24,0,81,3,1,0,3,4,2,0.261,0.314,0.362,0.676,0.177,0.692,6.40%,21.70%,87,0.297,0.1,10953
Asdrubal Cabrera,- - -,110,309,352,71,43,21,0,7,113,36.36,34,42,36,1,80,3,4,0,8,1,0,0.230,0.313,0.366,0.678,0.256,0.702,10.20%,22.70%,82,0.297,0,4962
Kevin Pillar,NYM,124,325,347,75,47,11,2,15,135,36.28,40,47,11,0,81,10,1,0,5,4,3,0.231,0.277,0.415,0.692,0.222,0.702,3.20%,23.30%,90,0.297,0.7,12434
Hanser Alberto,KCR,103,241,255,65,40,20,3,2,97,28.89,25,24,4,0,26,4,2,4,1,3,1,0.270,0.291,0.402,0.693,0.158,0.712,1.60%,10.20%,84,0.296,0.6,11902
Brandon Marsh,LAA,70,236,260,60,43,12,3,2,84,28.16,27,19,20,0,91,2,1,1,3,6,1,0.254,0.317,0.356,0.673,0.208,0.703,7.70%,35.00%,86,0.296,1,20202
Rob Refsnyder,MIN,51,139,157,34,25,7,0,2,47,15.70,21,12,17,0,40,0,1,0,4,1,0,0.245,0.325,0.338,0.663,0.223,0.690,10.80%,25.50%,86,0.296,0,13770
Dom Nunez,COL,81,228,263,43,18,12,3,10,91,29.08,31,33,34,4,91,0,1,0,0,0,0,0.189,0.293,0.399,0.692,0.360,0.707,12.90%,34.60%,69,0.294,0.5,15055
Yu Chang,CLE,89,237,251,54,28,14,3,9,101,26.46,32,39,11,0,69,2,1,0,4,1,0,0.228,0.267,0.426,0.693,0.249,0.702,4.40%,27.50%,85,0.294,0.4,14773
Carlos Santana,KCR,158,565,659,121,87,15,0,19,193,65.80,66,69,86,3,102,3,5,0,12,2,0,0.214,0.319,0.342,0.660,0.283,0.689,13.10%,15.50%,83,0.294,-0.3,2396
Oscar Mercado,CLE,72,214,238,48,30,11,1,6,79,25.84,27,19,21,0,42,2,0,1,1,7,1,0.224,0.300,0.369,0.669,0.271,0.702,8.80%,17.60%,85,0.294,0.6,16375
Paul DeJong,STL,113,356,402,70,40,10,1,19,139,40.87,44,45,35,0,103,9,2,0,6,4,1,0.197,0.284,0.390,0.674,0.301,0.695,8.70%,25.60%,86,0.293,1.6,18015
Jurickson Profar,SDP,137,353,412,80,57,17,2,4,113,38.41,47,33,49,1,65,6,2,1,12,10,5,0.227,0.329,0.320,0.649,0.246,0.688,11.90%,15.80%,85,0.293,-0.7,10815
Hunter Dozier,KCR,144,487,543,105,56,27,6,16,192,53.94,55,54,43,0,154,7,6,0,12,5,4,0.216,0.285,0.394,0.680,0.269,0.698,7.90%,28.40%,82,0.293,-0.2,15117
Isiah Kiner-Falefa,TEX,158,635,677,172,136,25,3,8,227,71.60,74,53,28,2,90,11,2,1,11,20,5,0.271,0.312,0.357,0.670,0.154,0.698,4.10%,13.30%,85,0.293,2.3,16512
Kole Calhoun,ARI,51,166,182,39,26,8,0,5,62,19.13,17,17,15,0,41,0,1,0,2,1,0,0.235,0.297,0.373,0.670,0.235,0.688,8.20%,22.50%,79,0.292,0,11200
Guillermo Heredia,ATL,120,305,347,67,36,26,0,5,108,35.14,46,26,32,3,81,9,1,0,5,0,0,0.220,0.311,0.354,0.665,0.239,0.684,9.20%,23.30%,79,0.292,0.5,18721
Charlie Culberson,TEX,91,247,271,60,38,15,2,5,94,29.04,23,22,17,1,64,2,1,4,3,7,1,0.243,0.296,0.381,0.676,0.231,0.709,6.30%,23.60%,85,0.292,0.6,3298
Jose Rojas,LAA,61,168,184,35,15,14,0,6,67,18.83,26,15,15,0,50,1,0,0,2,2,1,0.208,0.277,0.399,0.676,0.286,0.689,8.20%,27.20%,83,0.292,-0.1,19331
Luis Garcia,WSN,70,236,247,57,31,18,2,6,97,23.39,29,22,11,1,43,0,0,0,8,0,2,0.242,0.275,0.411,0.686,0.208,0.685,4.50%,17.40%,79,0.291,-0.2,20391
Travis d'Arnaud,ATL,60,209,229,46,25,14,0,7,81,21.90,21,26,17,0,53,2,1,0,7,0,0,0.220,0.284,0.388,0.671,0.249,0.683,7.40%,23.10%,78,0.291,0.6,7739
Jorge Mateo,- - -,89,194,209,48,32,11,1,4,73,22.53,19,14,9,0,55,4,1,1,1,10,3,0.247,0.293,0.376,0.670,0.211,0.708,4.30%,26.30%,83,0.291,0.5,17273
Harold Castro,DET,106,315,339,89,72,13,1,3,113,34.58,35,37,14,0,72,1,5,4,7,1,1,0.283,0.310,0.359,0.669,0.121,0.689,4.10%,21.20%,83,0.291,0.5,14691
Tom Murphy,SEA,97,277,325,56,37,8,0,11,97,30.60,35,34,40,0,99,2,3,0,8,0,0,0.202,0.304,0.350,0.655,0.292,0.680,12.30%,30.50%,87,0.291,1,13499
Dominic Smith,NYM,145,446,493,109,78,20,0,11,162,48.63,43,58,32,2,112,9,6,0,13,2,1,0.244,0.304,0.363,0.667,0.193,0.688,6.50%,22.70%,86,0.291,-0.5,15653
Yadier Molina,STL,121,440,473,111,81,19,0,11,163,45.55,45,66,24,1,79,5,3,0,16,3,0,0.252,0.297,0.370,0.667,0.180,0.684,5.10%,16.70%,83,0.29,1,7007
Rougned Odor,NYY,102,322,361,65,38,12,0,15,122,36.17,42,39,27,2,100,11,0,1,3,0,1,0.202,0.286,0.379,0.665,0.258,0.677,7.50%,27.70%,83,0.289,0.6,12282
Ryan Jeffers,MIN,85,267,293,53,28,10,1,14,107,27.95,28,35,22,0,108,4,0,0,6,0,1,0.199,0.270,0.401,0.670,0.281,0.677,7.50%,36.90%,82,0.289,0.6,24618
Clint Frazier,NYY,66,183,218,34,20,9,0,5,58,19.07,20,15,32,0,65,3,0,0,8,2,0,0.186,0.317,0.317,0.633,0.317,0.670,14.70%,29.80%,83,0.289,-0.9,15983
Christian Vazquez,BOS,138,458,498,118,88,23,1,6,161,47.59,51,49,33,0,84,2,4,1,15,8,4,0.258,0.308,0.352,0.659,0.175,0.683,6.60%,16.90%,77,0.289,0.5,9774
Curt Casali,SFG,77,200,231,42,25,11,1,5,70,23.08,20,26,26,4,66,4,0,1,3,0,0,0.210,0.313,0.350,0.663,0.270,0.684,11.30%,28.60%,82,0.289,0.5,12510
Travis Shaw,- - -,84,220,250,44,24,11,0,9,82,25.00,20,39,24,0,68,3,1,2,2,0,0,0.200,0.286,0.373,0.659,0.282,0.678,9.60%,27.20%,78,0.289,-0.2,11982
Reese McGuire,TOR,78,198,217,50,34,15,0,1,68,21.33,22,10,15,0,44,2,1,1,4,0,0,0.253,0.310,0.343,0.654,0.167,0.671,6.90%,20.30%,78,0.289,1.3,15674
Garrett Hampson,COL,147,453,494,106,68,21,6,11,172,50.21,69,33,33,2,118,3,2,3,6,17,7,0.234,0.289,0.380,0.669,0.241,0.699,6.70%,23.90%,65,0.288,0.5,19262
Miguel Andujar,NYY,45,154,162,39,31,2,0,6,59,14.01,19,12,7,0,28,0,1,0,8,0,1,0.253,0.284,0.383,0.667,0.169,0.672,4.30%,17.30%,81,0.288,-0.2,15878
Jake Marisnick,- - -,99,176,198,38,23,7,3,5,66,19.28,21,24,11,0,65,7,2,2,4,4,1,0.216,0.286,0.375,0.661,0.239,0.694,5.60%,32.80%,78,0.287,-0.2,11339
Josh VanMeter,ARI,112,274,310,58,33,17,2,6,97,29.73,26,36,33,0,83,1,2,0,5,3,2,0.212,0.297,0.354,0.651,0.266,0.674,10.60%,26.80%,75,0.287,-0.5,15170
Niko Goodrum,DET,90,290,325,62,40,11,2,9,104,31.25,39,33,29,0,107,4,2,0,6,14,5,0.214,0.292,0.359,0.651,0.276,0.692,8.90%,32.90%,79,0.286,0,12092
Michael A. Taylor,KCR,142,483,528,118,89,16,1,12,172,51.12,58,54,33,0,144,5,5,2,9,14,7,0.244,0.297,0.356,0.653,0.195,0.682,6.30%,27.30%,77,0.286,1.9,11489
Alec Bohm,PHI,115,380,417,94,72,15,0,7,130,39.36,46,47,31,0,111,2,4,0,12,4,0,0.247,0.305,0.342,0.647,0.187,0.673,7.40%,26.60%,75,0.285,-0.2,21618
Austin Barnes,LAD,77,200,225,43,29,8,0,6,69,20.61,28,23,20,1,56,4,0,1,6,1,0,0.215,0.299,0.345,0.644,0.235,0.666,8.90%,24.90%,79,0.285,0.8,12158
Jack Mayfield,- - -,87,266,290,58,33,15,0,10,103,28.03,30,39,17,0,68,3,1,3,6,5,0,0.218,0.272,0.387,0.659,0.252,0.686,5.90%,23.40%,79,0.284,0.6,15402
Marcell Ozuna,ATL,48,188,208,40,27,6,0,7,67,18.74,21,26,19,0,46,1,0,0,6,0,0,0.213,0.288,0.356,0.645,0.245,0.659,9.10%,22.10%,73,0.284,-0.3,10324
Mike Moustakas,CIN,62,183,206,38,20,12,0,6,68,18.87,21,22,18,0,46,2,3,0,6,0,0,0.208,0.282,0.372,0.653,0.262,0.675,8.70%,22.30%,70,0.284,-0.4,4892
Nick Gordon,MIN,73,200,216,48,34,9,1,4,71,20.53,19,23,12,0,55,3,1,0,7,10,1,0.240,0.292,0.355,0.647,0.220,0.692,5.60%,25.50%,77,0.283,0.1,16337
Josh Reddick,ARI,54,151,158,39,26,11,0,2,56,15.07,15,21,6,0,31,0,1,0,4,0,0,0.258,0.285,0.371,0.656,0.152,0.665,3.80%,19.60%,73,0.283,-0.2,3892
Zach McKinstry,LAD,60,158,172,34,18,9,0,7,64,16.37,19,29,10,1,50,1,2,1,3,1,1,0.215,0.263,0.405,0.668,0.253,0.684,5.80%,29.10%,77,0.282,-0.5,19392
Jon Berti,MIA,85,233,271,49,34,10,1,4,73,23.66,35,19,32,0,61,3,2,1,7,8,4,0.210,0.311,0.313,0.624,0.258,0.668,11.80%,22.50%,79,0.282,0.2,12037
