Name,Team,G,AB,PA,H,1B,2B,3B,HR,TB,RC,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,OBP,SLG,OPS,SecA,EqA,BB%,K%,wRC+,wOBA,WAR,playerid
DJ LeMahieu,NYY,150,597,679,160,125,24,1,10,216,101.11,84,57,73,2,94,4,5,0,16,4,2,0.268,0.349,0.362,0.711,0.219,0.734,10.80%,13.80%,100,0.315,2.4,9874
Bobby Bradley,CLE,74,245,279,51,25,10,0,16,109,41,36,41,25,1,99,6,3,0,3,0,0,0.208,0.294,0.445,0.739,0.339,0.751,9.00%,35.50%,99,0.314,0.3,17278
Alex Kirilloff,MIN,59,215,231,54,34,11,1,8,91,30.78,23,34,14,2,52,1,1,0,3,1,1,0.251,0.299,0.423,0.722,0.237,0.73,6.10%,22.50%,93,0.307,0.3,20325
Rowdy Tellez,- - -,106,297,325,72,45,14,2,11,123,43.78,34,36,23,4,65,4,1,0,6,0,0,0.242,0.305,0.414,0.719,0.249,0.728,7.10%,20.00%,89,0.306,-0.2,15679
Miguel Cabrera,DET,130,472,526,121,90,16,0,15,182,66.9,48,75,40,0,118,5,9,0,21,0,0,0.256,0.316,0.386,0.701,0.214,0.721,7.60%,22.40%,92,0.305,-0.7,1744
Christian Walker,ARI,115,401,445,98,64,23,1,10,153,60.41,55,46,38,1,106,4,2,0,8,0,0,0.244,0.315,0.382,0.696,0.232,0.71,8.50%,23.80%,87,0.304,0.3,13419
Albert Pujols,- - -,109,275,296,65,45,3,0,17,119,32.91,29,50,14,3,45,5,2,0,14,2,0,0.236,0.284,0.433,0.717,0.255,0.73,4.70%,15.20%,90,0.302,-0.2,1177
Yoshi Tsutsugo,- - -,81,230,262,50,29,12,1,8,88,36.64,27,32,29,0,72,1,1,1,3,0,1,0.217,0.307,0.383,0.689,0.287,0.703,11.10%,27.50%,90,0.302,0.2,27459
Yu Chang,CLE,89,237,251,54,28,14,3,9,101,29.21,32,39,11,0,69,2,1,0,4,1,0,0.228,0.267,0.426,0.693,0.249,0.702,4.40%,27.50%,85,0.294,0.4,14773
Carlos Santana,KCR,158,565,659,121,87,15,0,19,193,92.05,66,69,86,3,102,3,5,0,12,2,0,0.214,0.319,0.342,0.66,0.283,0.689,13.10%,15.50%,83,0.294,-0.3,2396
Travis Shaw,- - -,84,220,250,44,24,11,0,9,82,31.76,20,39,24,0,68,3,1,2,2,0,0,0.2,0.286,0.373,0.659,0.282,0.678,9.60%,27.20%,78,0.289,-0.2,11982
Ryan O'Hearn,KCR,84,236,254,53,38,5,1,9,87,25.67,23,29,13,0,71,2,3,0,7,0,0,0.225,0.268,0.369,0.636,0.199,0.652,5.10%,28.00%,70,0.274,-0.7,16442
Willians Astudillo,MIN,73,208,216,49,34,8,0,7,78,17.07,17,21,3,0,12,4,1,0,12,0,0,0.236,0.259,0.375,0.634,0.154,0.641,1.40%,5.60%,70,0.272,-0.8,15608
Joshua Fuentes,COL,95,271,284,61,42,11,1,7,95,26.54,30,33,12,1,65,0,1,0,5,0,0,0.225,0.257,0.351,0.608,0.17,0.616,4.20%,22.90%,48,0.261,-0.3,16885
Jake Bauers,- - -,115,282,315,59,48,7,0,4,78,32.9,27,19,30,1,78,2,0,0,1,6,1,0.209,0.29,0.277,0.566,0.191,0.603,9.50%,24.80%,63,0.257,-0.7,15194
Owen Miller,CLE,60,191,202,39,27,8,0,4,59,14.89,17,18,9,0,54,1,1,0,7,2,0,0.204,0.243,0.309,0.551,0.162,0.572,4.50%,26.70%,49,0.241,-1.1,24655
