Name,Team,G,AB,PA,H,1B,2B,3B,HR,TB,RC,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,OBP,SLG,OPS,SecA,EqA,BB%,K%,wRC+,wOBA,WAR,playerid
Jesus Sanchez,MIA,64,227,251,57,33,8,2,14,111,35.81,27,36,20,3,78,3,1,0,2,0,1,0.251,0.319,0.489,0.808,0.322,0.808,8.00%,31.10%,116,0.339,0.6,19913
Bryan De La Cruz,MIA,58,199,219,59,45,7,2,5,85,28.58,17,19,18,1,53,1,1,0,8,1,1,0.296,0.356,0.427,0.783,0.221,0.792,8.20%,24.20%,115,0.339,0.8,19600
Robbie Grossman,DET,156,557,671,133,84,23,3,23,231,91.73,88,67,98,3,155,8,6,2,8,20,5,0.239,0.357,0.415,0.772,0.379,0.807,14.60%,23.10%,114,0.337,2.7,5254
Dylan Carlson,STL,149,542,619,144,91,31,4,18,237,86.49,79,65,57,2,152,11,8,1,5,2,1,0.266,0.343,0.437,0.78,0.279,0.796,9.20%,24.60%,113,0.336,2.8,20126
Taylor Ward,LAA,65,208,237,52,29,15,0,8,91,30.75,33,33,20,0,55,6,1,2,4,1,1,0.25,0.332,0.438,0.769,0.284,0.780,8.40%,23.20%,111,0.333,0.5,17548
Charlie Blackmon,COL,150,514,582,139,97,25,4,13,211,77.71,76,78,54,1,91,11,3,0,8,3,0,0.27,0.351,0.411,0.761,0.251,0.778,9.30%,15.60%,94,0.333,1.5,7859
Tyrone Taylor,MIL,93,243,271,60,36,9,3,12,111,35.84,33,43,20,1,59,7,1,0,6,6,1,0.247,0.321,0.457,0.778,0.313,0.797,7.40%,21.80%,106,0.333,1.5,13675
Wil Myers,SDP,146,442,500,113,70,24,2,17,192,64.80,56,63,54,2,141,0,4,0,9,8,5,0.256,0.334,0.434,0.768,0.308,0.784,10.80%,28.20%,109,0.33,1.4,10047
Austin Hays,BAL,131,488,529,125,73,26,4,22,225,67.71,73,71,28,0,107,9,1,3,9,4,3,0.256,0.308,0.461,0.769,0.264,0.775,5.30%,20.20%,106,0.328,2.4,19363
Mike Yastrzemski,SFG,139,468,532,105,49,28,3,25,214,70.87,75,71,51,4,131,9,3,1,3,4,0,0.224,0.311,0.457,0.768,0.350,0.782,9.60%,24.60%,106,0.326,2.2,14854
Adam Duvall,- - -,146,513,555,117,60,17,2,38,252,71.42,67,113,35,1,174,4,3,0,7,5,0,0.228,0.281,0.491,0.772,0.341,0.782,6.30%,31.40%,103,0.324,2.4,10950
Jorge Soler,- - -,149,516,602,115,61,27,0,27,223,72.47,74,70,67,0,142,6,5,0,12,0,0,0.223,0.316,0.432,0.749,0.339,0.762,11.10%,23.60%,101,0.323,-0.2,14221
Michael Conforto,NYM,125,406,479,94,60,20,0,14,156,55.24,52,55,59,3,104,12,2,0,14,1,0,0.232,0.344,0.384,0.729,0.300,0.750,12.30%,21.70%,106,0.322,0.8,16376
Pavin Smith,ARI,145,498,545,133,91,27,4,11,201,65.89,68,49,42,1,106,4,1,0,11,1,0,0.267,0.328,0.404,0.732,0.223,0.743,7.70%,19.40%,96,0.318,0.3,19892
Ehire Adrianza,ATL,109,182,209,45,29,9,2,5,73,24.82,32,28,21,0,42,2,3,1,4,0,0,0.247,0.327,0.401,0.728,0.269,0.749,10.00%,20.10%,94,0.316,0.2,8418
Joc Pederson,- - -,137,429,481,102,62,19,3,18,181,56.07,55,61,39,0,117,8,5,0,9,2,3,0.238,0.31,0.422,0.732,0.273,0.744,8.10%,24.30%,94,0.315,0.6,11899
Seth Brown,OAK,111,281,307,60,26,13,1,20,135,38.42,43,48,23,2,89,1,2,0,1,4,1,0.214,0.274,0.48,0.754,0.359,0.766,7.50%,29.00%,103,0.315,1.1,18171
Adolis Garcia,TEX,149,581,622,141,82,26,2,31,264,72.15,77,90,32,0,194,5,4,0,15,16,5,0.243,0.286,0.454,0.741,0.286,0.760,5.10%,31.20%,100,0.314,2.9,19287
Brett Phillips,TBR,119,253,292,52,26,9,4,13,108,35.08,50,44,33,0,113,2,2,2,3,14,3,0.206,0.3,0.427,0.727,0.395,0.769,11.30%,38.70%,103,0.313,1.8,14735
D.J. Stewart,BAL,100,270,318,55,33,10,0,12,101,35.60,39,33,44,1,89,4,0,0,3,0,0,0.204,0.324,0.374,0.698,0.333,0.717,13.80%,28.00%,94,0.31,0.4,17766
Max Kepler,MIN,121,426,490,90,46,21,4,19,176,59.83,61,54,54,3,96,6,4,0,2,10,0,0.211,0.306,0.413,0.719,0.352,0.750,11.00%,19.60%,95,0.309,1.9,12144
Chad Pinder,OAK,75,214,233,52,29,16,1,6,88,25.74,30,27,16,0,62,2,1,0,6,1,0,0.243,0.3,0.411,0.712,0.248,0.724,6.90%,26.60%,97,0.307,0.4,15191
Anthony Santander,BAL,110,406,438,98,56,24,0,18,176,48.02,54,50,23,0,101,4,4,1,11,1,1,0.241,0.286,0.433,0.72,0.249,0.730,5.30%,23.10%,92,0.307,0.6,14551
Alex Kirilloff,MIN,59,215,231,54,34,11,1,8,91,26.85,23,34,14,2,52,1,1,0,3,1,1,0.251,0.299,0.423,0.722,0.237,0.730,6.10%,22.50%,93,0.307,0.3,20325
Brian Goodwin,CHW,72,235,271,52,33,10,1,8,88,30.50,33,29,33,0,58,1,1,1,2,1,0,0.221,0.319,0.374,0.693,0.298,0.715,12.20%,21.40%,94,0.306,0.2,12858
Aristides Aquino,CIN,84,174,204,33,16,6,1,10,71,23.09,25,23,27,2,75,1,2,0,0,2,2,0.19,0.299,0.408,0.707,0.374,0.726,13.20%,36.80%,83,0.303,0.1,15482
Jo Adell,LAA,35,130,140,32,21,5,2,4,53,15.04,17,26,8,0,32,1,0,1,3,2,1,0.246,0.295,0.408,0.703,0.231,0.716,5.70%,22.90%,90,0.303,0.1,20220
Harold Ramirez,CLE,99,339,361,91,62,21,1,7,135,39.16,33,41,14,1,56,5,3,0,10,3,1,0.268,0.305,0.398,0.703,0.177,0.718,3.90%,15.50%,90,0.302,0,14387
Josh Naylor,CLE,69,233,250,59,39,13,0,7,93,26.60,28,21,14,1,45,2,0,0,7,1,0,0.253,0.301,0.399,0.7,0.210,0.710,5.60%,18.00%,90,0.302,-0.6,18839
Yoshi Tsutsugo,- - -,81,230,262,50,29,12,1,8,88,28.09,27,32,29,0,72,1,1,1,3,0,1,0.217,0.307,0.383,0.689,0.287,0.703,11.10%,27.50%,90,0.302,0.2,27459
Manuel Margot,TBR,125,421,464,107,76,18,3,10,161,51.51,55,57,37,2,70,1,4,1,4,13,8,0.254,0.313,0.382,0.696,0.228,0.720,8.00%,15.10%,95,0.301,1.4,14712
Trevor Larnach,MIN,79,260,301,58,39,12,0,7,91,32.07,29,28,31,0,104,8,2,0,3,1,0,0.223,0.322,0.35,0.672,0.250,0.699,10.30%,34.60%,89,0.3,0.2,21501
Randal Grichuk,TOR,149,511,545,123,75,25,1,22,216,55.12,59,81,27,0,114,3,4,0,17,0,3,0.241,0.281,0.423,0.703,0.229,0.708,5.00%,20.90%,85,0.3,0.4,10243
Bradley Zimmer,CLE,99,299,348,68,50,9,1,8,103,38.30,44,35,30,0,122,15,4,0,3,15,3,0.227,0.325,0.344,0.669,0.258,0.723,8.60%,35.10%,89,0.3,1.1,16221
Victor Reyes,DET,76,209,220,54,35,10,4,5,87,25.01,26,22,8,0,55,0,1,2,2,5,1,0.258,0.284,0.416,0.701,0.215,0.723,3.60%,25.00%,88,0.298,0.3,15487
Oscar Mercado,CLE,72,214,238,48,30,11,1,6,79,25.84,27,19,21,0,42,2,0,1,1,7,1,0.224,0.3,0.369,0.669,0.271,0.702,8.80%,17.60%,85,0.294,0.6,16375
Jurickson Profar,SDP,137,353,412,80,57,17,2,4,113,38.41,47,33,49,1,65,6,2,1,12,10,5,0.227,0.329,0.32,0.649,0.246,0.688,11.90%,15.80%,85,0.293,-0.7,10815
Hunter Dozier,KCR,144,487,543,105,56,27,6,16,192,53.94,55,54,43,0,154,7,6,0,12,5,4,0.216,0.285,0.394,0.68,0.269,0.698,7.90%,28.40%,82,0.293,-0.2,15117
Kole Calhoun,ARI,51,166,182,39,26,8,0,5,62,19.13,17,17,15,0,41,0,1,0,2,1,0,0.235,0.297,0.373,0.67,0.235,0.688,8.20%,22.50%,79,0.292,0,11200
Jose Rojas,LAA,61,168,184,35,15,14,0,6,67,18.83,26,15,15,0,50,1,0,0,2,2,1,0.208,0.277,0.399,0.676,0.286,0.689,8.20%,27.20%,83,0.292,-0.1,19331
Clint Frazier,NYY,66,183,218,34,20,9,0,5,58,19.07,20,15,32,0,65,3,0,0,8,2,0,0.186,0.317,0.317,0.633,0.317,0.670,14.70%,29.80%,83,0.289,-0.9,15983
Josh Reddick,ARI,54,151,158,39,26,11,0,2,56,15.07,15,21,6,0,31,0,1,0,4,0,0,0.258,0.285,0.371,0.656,0.152,0.665,3.80%,19.60%,73,0.283,-0.2,3892
Zach McKinstry,LAD,60,158,172,34,18,9,0,7,64,16.37,19,29,10,1,50,1,2,1,3,1,1,0.215,0.263,0.405,0.668,0.253,0.684,5.80%,29.10%,77,0.282,-0.5,19392
Stephen Piscotty,OAK,72,173,188,38,25,8,0,5,61,17.75,14,16,13,0,48,2,0,0,2,1,0,0.22,0.282,0.353,0.635,0.214,0.650,6.90%,25.50%,78,0.279,-0.6,13367
Billy McKinney,- - -,116,265,300,51,28,11,3,9,95,28.39,32,27,32,2,79,1,2,0,3,2,0,0.192,0.28,0.358,0.638,0.294,0.664,10.70%,26.30%,73,0.277,0.3,15654
Gregory Polanco,PIT,107,336,382,70,45,12,2,11,119,36.23,38,36,36,2,104,2,8,0,8,14,1,0.208,0.283,0.354,0.637,0.292,0.691,9.40%,27.20%,71,0.275,-1.2,12907
Jason Heyward,CHC,104,323,353,69,44,15,2,8,112,32.52,35,30,27,1,68,3,0,0,4,5,1,0.214,0.28,0.347,0.627,0.229,0.649,7.60%,19.30%,68,0.275,0.3,4940
Ryan O'Hearn,KCR,84,236,254,53,38,5,1,9,87,22.20,23,29,13,0,71,2,3,0,7,0,0,0.225,0.268,0.369,0.636,0.199,0.652,5.10%,28.00%,70,0.274,-0.7,16442
Juan Lagares,LAA,112,309,327,73,45,20,2,6,115,28.24,39,38,12,0,76,1,1,4,8,1,2,0.236,0.266,0.372,0.638,0.172,0.648,3.70%,23.20%,71,0.274,-0.3,5384
Adam Eaton,- - -,84,254,288,51,33,10,2,6,83,24.33,38,30,22,0,71,7,1,4,6,3,0,0.201,0.282,0.327,0.608,0.224,0.642,7.60%,24.70%,70,0.271,-0.3,11205
Nomar Mazara,DET,50,165,181,35,25,5,2,3,53,14.59,12,19,15,0,45,0,1,0,4,0,0,0.212,0.276,0.321,0.597,0.200,0.616,8.30%,24.90%,64,0.264,-0.5,14553
Jarrod Dyson,- - -,102,135,149,28,19,7,2,0,39,10.50,17,10,10,0,33,0,1,3,1,10,5,0.207,0.26,0.289,0.549,0.193,0.610,6.70%,22.10%,48,0.243,-0.2,4866
